2461091.916666667,N, , 07 32 58.95, +41 16 17.4,  386.5680,  -598.141,    n.a.,   n.a.,   14.992,   n.a.,   1.043927741470, 17.1031848,  0.07776340396767, 16.2306818,   43.3319,   98.3,  10.2368,
2461091.923611111,C, , 07 33 04.69, +41 14 38.1,  386.7899,  -596.919,    n.a.,   n.a.,   14.993,   n.a.,   1.043996332428, 17.1022056,  0.07782850298294, 16.2311287,   43.3078,   98.2,  10.2967,
2461091.930555556,C, , 07 33 10.43, +41 12 58.9,  386.9881,  -595.671,    n.a.,   n.a.,   14.994,   n.a.,   1.044064919458, 17.1012263,  0.07789360273519, 16.2310521,   43.2837,   98.1,  10.3564,
2461091.937500000,*, , 07 33 16.18, +41 11 19.9,  387.1610,  -594.399,    n.a.,   n.a.,   14.996,   n.a.,   1.044133502561, 17.1002470,  0.07795870114771, 16.2304636,   43.2597,   98.0,  10.4157,
2461091.944444444,*, , 07 33 21.92, +41 09 41.2,  387.3069,  -593.104,    n.a.,   n.a.,   14.997,   n.a.,   1.044202081736, 17.0992676,  0.07802379619144, 16.2293755,   43.2356,   97.9,  10.4747,
2461091.951388889,*, , 07 33 27.67, +41 08 02.7,  387.4242,  -591.787,    n.a.,   n.a.,   14.998,   n.a.,   1.044270656984, 17.0982883,  0.07808888588873, 16.2278010,   43.2116,   97.9,  10.5333,
2461091.958333333,*, , 07 33 33.41, +41 06 24.4,  387.5113,  -590.447,    n.a.,   n.a.,   14.999,   n.a.,   1.044339228305, 17.0973089,  0.07815396831707, 16.2257543,   43.1876,   97.8,  10.5916,
2461091.965277778,*, , 07 33 39.15, +41 04 46.3,  387.5667,  -589.088,    n.a.,   n.a.,   15.001,   n.a.,   1.044407795698, 17.0963296,  0.07821904161254, 16.2232504,   43.1637,   97.7,  10.6494,
2461091.972222222,*, , 07 33 44.89, +41 03 08.4,  387.5890,  -587.709,    n.a.,   n.a.,   15.002,   n.a.,   1.044476359164, 17.0953501,  0.07828410397339, 16.2203054,   43.1398,   97.6,  10.7068,
2461091.979166667,*, , 07 33 50.63, +41 01 30.8,  387.5768,  -586.311,    n.a.,   n.a.,   15.003,   n.a.,   1.044544918703, 17.0943707,  0.07834915366329, 16.2169359,   43.1159,   97.5,  10.7637,
2461091.986111111,*, , 07 33 56.36, +40 59 53.4,  387.5288,  -584.896,    n.a.,   n.a.,   15.005,   n.a.,   1.044613474315, 17.0933913,  0.07841418901461, 16.2131595,   43.0920,   97.4,  10.8201,
2461091.993055556,*, , 07 34 02.09, +40 58 16.3,  387.4439,  -583.465,    n.a.,   n.a.,   15.006,   n.a.,   1.044682025999, 17.0924118,  0.07847920843150, 16.2089943,   43.0682,   97.4,  10.8761,
2461092.000000000,*, , 07 34 07.82, +40 56 39.3,  387.3209,  -582.019,    n.a.,   n.a.,   15.007,   n.a.,   1.044750573756, 17.0914323,  0.07854421039286, 16.2044595,   43.0444,   97.3,  10.9315,
2461092.006944444,*, , 07 34 13.54, +40 55 02.7,  387.1586,  -580.560,    n.a.,   n.a.,   15.008,   n.a.,   1.044819117586, 17.0904528,  0.07860919345517, 16.1995746,   43.0206,   97.2,  10.9864,
2461092.013888889,*, , 07 34 19.26, +40 53 26.2,  386.9562,  -579.087,    n.a.,   n.a.,   15.010,   n.a.,   1.044887657489, 17.0894733,  0.07867415625517, 16.1943601,   42.9969,   97.1,  11.0407,
2461092.020833333,*, , 07 34 24.97, +40 51 50.1,  386.7127,  -577.603,    n.a.,   n.a.,   15.011,   n.a.,   1.044956193464, 17.0884938,  0.07873909751241, 16.1888368,   42.9733,   97.1,  11.0945,
2461092.027777778,*, , 07 34 30.67, +40 50 14.1,  386.4273,  -576.110,    n.a.,   n.a.,   15.012,   n.a.,   1.045024725513, 17.0875142,  0.07880401603161, 16.1830263,   42.9496,   97.0,  11.1477,
2461092.034722222,*, , 07 34 36.37, +40 48 38.4,  386.0993,  -574.607,    n.a.,   n.a.,   15.013,   n.a.,   1.045093253634, 17.0865346,  0.07886891070491, 16.1769507,   42.9261,   96.9,  11.2003,
2461092.041666667,*, , 07 34 42.06, +40 47 03.0,  385.7280,  -573.097,    n.a.,   n.a.,   15.015,   n.a.,   1.045161777827, 17.0855550,  0.07893378051393, 16.1706324,   42.9025,   96.8,  11.2523,
2461092.048611111,*, , 07 34 47.74, +40 45 27.8,  385.3127,  -571.580,    n.a.,   n.a.,   15.016,   n.a.,   1.045230298094, 17.0845754,  0.07899862453161, 16.1640946,   42.8791,   96.8,  11.3036,
2461092.055555556,*, , 07 34 53.42, +40 43 52.9,  384.8532,  -570.059,    n.a.,   n.a.,   15.017,   n.a.,   1.045298814433, 17.0835958,  0.07906344192404, 16.1573606,   42.8556,   96.7,  11.3544,
2461092.062500000,*,m, 07 34 59.08, +40 42 18.2,  384.3488,  -568.534,    n.a.,   n.a.,   15.019,   n.a.,   1.045367326845, 17.0826161,  0.07912823195192, 16.1504542,   42.8323,   96.6,  11.4044,
2461092.069444444,*,m, 07 35 04.74, +40 40 43.8,  383.7994,  -567.006,    n.a.,   n.a.,   15.020,   n.a.,   1.045435835329, 17.0816364,  0.07919299397201, 16.1433995,   42.8090,   96.5,  11.4539,
2461092.076388889,*,m, 07 35 10.38, +40 39 09.6,  383.2048,  -565.478,    n.a.,   n.a.,   15.021,   n.a.,   1.045504339886, 17.0806567,  0.07925772743826, 16.1362208,   42.7857,   96.5,  11.5027,
2461092.083333333,*,m, 07 35 16.01, +40 37 35.7,  382.5647,  -563.950,    n.a.,   n.a.,   15.022,   n.a.,   1.045572840516, 17.0796770,  0.07932243190285, 16.1289428,   42.7625,   96.4,  11.5509,
2461092.090277778,*,m, 07 35 21.63, +40 36 02.1,  381.8791,  -562.424,    n.a.,   n.a.,   15.024,   n.a.,   1.045641337218, 17.0786973,  0.07938710701706, 16.1215903,   42.7394,   96.3,  11.5984,
2461092.097222222,*,m, 07 35 27.24, +40 34 28.7,  381.1481,  -560.901,    n.a.,   n.a.,   15.025,   n.a.,   1.045709829992, 17.0777175,  0.07945175253187, 16.1141881,   42.7163,   96.3,  11.6452,
2461092.104166667,*,m, 07 35 32.83, +40 32 55.5,  380.3719,  -559.383,    n.a.,   n.a.,   15.026,   n.a.,   1.045778318839, 17.0767378,  0.07951636829838, 16.1067613,   42.6933,   96.2,  11.6914,
2461092.111111111,*,m, 07 35 38.41, +40 31 22.6,  379.5506,  -557.870,    n.a.,   n.a.,   15.027,   n.a.,   1.045846803758, 17.0757580,  0.07958095426822, 16.0993350,   42.6704,   96.1,  11.7369,
2461092.118055556,*,m, 07 35 43.98, +40 29 50.0,  378.6845,  -556.364,    n.a.,   n.a.,   15.029,   n.a.,   1.045915284749, 17.0747782,  0.07964551049349, 16.0919342,   42.6475,   96.1,  11.7818,
2461092.125000000,*,m, 07 35 49.53, +40 28 17.6,  377.7741,  -554.866,    n.a.,   n.a.,   15.030,   n.a.,   1.045983761812, 17.0737983,  0.07971003712672, 16.0845840,   42.6247,   96.0,  11.8260,
2461092.131944444,*,m, 07 35 55.07, +40 26 45.4,  376.8198,  -553.378,    n.a.,   n.a.,   15.031,   n.a.,   1.046052234947, 17.0728185,  0.07977453442057, 16.0773092,   42.6020,   96.0,  11.8696,
